year,journal,doi,arxiv number,primary arxiv category,total number of authors,total number of ORCIDs linked to the authors,total number of affiliations,total number of ROR linked with the affiliations,"total number of related materials, type dataset","total number of related materials, type software"
2024,European Physical Journal C,10.1140/epjc/s10052-024-13530-x,2308.14483,hep-ph,5,0,7,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13581-0,,,58,0,75,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)137,2407.21353,hep-th,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)144,2406.08865,hep-lat,2,2,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)148,2407.10593,nucl-ex,1081,0,1127,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13490-2,,,5,0,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13605-9,2408.15370,hep-ph,5,1,7,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13590-z,2410.15366v1,hep-th,1,1,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)138,2407.18430,hep-th,4,3,7,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP11(2024)146,2406.11956,hep-th,3,3,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13528-5,,,4,0,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13636-2,,,2,1,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13600-0,,,2,1,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13583-y,2403.15533v2,hep-ph,3,0,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13623-7,2406.03846,gr-qc,3,2,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13539-2,2408.10659,hep-ph,5,0,7,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13633-5,2212.12000v2,hep-ph,5,1,7,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13500-3,,,6,1,11,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13311-6,2403.02809,hep-ex,2918,0,3211,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13243-1,,,2900,0,3192,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13703-8,,,5,1,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)110,2402.16417,hep-ex,1067,0,1114,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)106,2406.14633,hep-ph,3,3,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)109,2406.14437,hep-ph,3,3,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)120,2407.11593,hep-th,4,1,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)119,2404.15400,hep-th,5,5,8,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13397-y,2407.05923,hep-ph,4,1,9,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)117,2307.14255,hep-th,2,1,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)118,2310.10724,hep-th,2,0,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13372-7,,,3,0,4,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13345-w,2405.14773,hep-ph,3,2,5,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13429-7,,,6,0,9,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13455-5,,,4,0,6,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13433-x,,,1,0,1,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13371-8,,,1,0,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)121,2407.13177,hep-th,4,4,4,0,0,0
